FECHA_UTC,ESTE,NORTE,VERTICAL,ERUPCION
2024-06-27,0.01,-0.38,-0.65,1
2024-06-28,-0.12,-0.32,-0.77,1
2024-06-29,-0.03,-0.36,-0.92,1
2024-06-30,0.05,-0.2,-0.44,1
2024-07-01,0.19,-0.25,-0.57,1
2024-07-02,0.03,-0.22,-0.45,1
2024-07-03,-0.04,-0.28,-0.51,1
2024-07-04,0.03,-0.28,-0.45,1
2024-07-05,-0.07,-0.3,-0.59,1
2024-07-06,-0.13,-0.4,-0.58,1
2024-07-07,0.12,-0.48,-0.35,1
2024-07-08,-0.08,-0.37,-0.6,1
2024-07-09,-0.03,-0.42,-0.66,1
2024-07-10,0.02,-0.49,-0.75,1
2024-07-11,-0.1,-0.46,-0.55,1
2024-07-12,-0.14,-0.37,-0.59,1
2024-07-13,-0.08,-0.31,-1.07,1
2024-07-14,-0.07,-0.35,-0.54,1
2024-07-15,-0.02,-0.21,-0.68,1
2024-07-16,0.05,-0.24,-0.78,1
2024-07-17,0.1,-0.1,-0.87,1
2024-07-18,0.13,-0.26,-0.46,1
2024-07-19,0.02,-0.2,-0.77,1
2024-07-20,-0.05,-0.35,-0.2,1
2024-07-21,0.06,-0.33,-0.67,1
2024-07-22,0.04,-0.52,-0.44,1
2024-07-23,-0.21,-0.29,-0.41,1
2024-07-24,0.01,-0.34,-0.82,1
2024-07-25,0.08,-0.18,-0.59,1
2024-07-26,-0.05,-0.3,-0.69,1
2024-07-27,-0.16,-0.25,-0.86,1
2024-07-28,-0.07,-0.25,-0.92,1
2024-07-29,0.05,-0.17,-0.78,1
2024-07-30,0.0,-0.21,-0.73,1
2024-07-31,-0.22,-0.21,-0.5,1
2024-08-01,-0.11,-0.24,-0.7,1
2024-08-02,-0.03,-0.27,-0.47,1
2024-08-03,-0.08,-0.21,-0.75,1
2024-08-04,-0.12,-0.27,-0.19,1
2024-08-05,-0.13,-0.28,-0.44,1
2024-08-06,-0.31,-0.3,-0.61,1
2024-08-07,-0.27,-0.38,-0.45,1
2024-08-08,-0.16,-0.3,-0.46,1
2024-08-09,-0.02,-0.28,-0.54,1
2024-08-10,-0.01,-0.24,-0.76,1
2024-08-11,0.08,-0.23,-0.43,1
2024-08-12,-0.16,-0.24,-1.08,1
2024-08-13,-0.14,-0.26,-0.6,1
2024-08-14,-0.01,-0.29,-0.58,1
2024-08-15,-0.16,-0.15,-0.86,1
2024-08-16,0.02,-0.18,-0.75,1
2024-08-17,-0.16,-0.16,-0.35,1
2024-08-18,-0.06,-0.08,-0.63,1
2024-08-19,-0.05,-0.08,-0.54,1
2024-08-20,-0.12,-0.15,-0.32,1
2024-08-21,-0.19,-0.25,-0.52,1
2024-08-22,-0.21,-0.42,-0.42,1
2024-08-23,-0.13,-0.17,-0.33,1
2024-08-24,-0.15,-0.16,-0.21,1
2024-08-25,-0.01,-0.19,-0.37,1
2024-08-26,-0.04,-0.15,-0.45,1
2024-08-27,-0.03,-0.25,-0.57,1
2024-08-28,-0.03,-0.21,-0.95,1
2024-08-29,-0.19,-0.25,-0.37,1
2024-08-30,-0.16,-0.28,-0.25,1
2024-08-31,-0.06,-0.38,-0.42,1
2024-09-01,0.07,-0.26,-0.48,1
2024-09-02,-0.02,-0.25,-0.44,1
2024-09-03,0.03,-0.22,-0.42,1
2024-09-04,0.05,-0.23,-0.22,1
2024-09-05,0.04,-0.27,-0.86,1
2024-09-06,-0.02,-0.32,-0.14,1
2024-09-07,-0.25,-0.22,-0.69,1
2024-09-08,0.01,-0.11,-0.78,1
2024-09-09,-0.03,-0.11,-0.87,1
2024-09-10,-0.06,-0.18,-0.81,1
2024-09-11,-0.03,-0.17,-0.31,1
2024-09-12,-0.09,-0.22,-0.67,1
2024-09-13,-0.03,-0.23,-0.88,1
2024-09-14,-0.05,-0.3,-1.22,1
2024-09-15,-0.18,-0.2,-0.55,1
2024-09-16,0.03,-0.29,-0.3,1
2024-09-17,-0.16,-0.3,-1.0,1
2024-09-18,0.12,-0.11,-0.95,1
2024-09-19,-0.01,-0.26,-0.96,1
2024-09-20,-0.18,-0.19,-0.49,1
2024-09-21,-0.07,-0.17,-1.0,1
2024-09-22,-0.19,-0.22,-0.72,1
2024-09-23,-0.09,-0.21,-0.53,1
2024-09-24,0.0,-0.17,-0.58,1
2024-09-25,-0.17,-0.21,-0.97,1
2024-09-26,-0.07,-0.28,-0.64,1
2024-09-27,-0.02,-0.18,-0.51,1
