FECHA_UTC,ALTURA,VOLCAN
2020-09-09,100,UBINAS
2020-09-10,500,UBINAS
2020-09-12,700,UBINAS
2020-09-16,300,UBINAS
2020-09-17,200,UBINAS
2020-09-19,200,UBINAS
2020-09-20,100,UBINAS
2020-09-21,200,UBINAS
2020-09-22,100,UBINAS
2020-09-23,200,UBINAS
2020-09-25,500,UBINAS
2020-09-26,200,UBINAS
2020-09-27,200,UBINAS
2020-09-28,300,UBINAS
2020-10-09,400,UBINAS
2020-10-10,200,UBINAS
2020-10-11,200,UBINAS
2020-10-12,200,UBINAS
2020-10-17,200,UBINAS
2020-10-19,100,UBINAS
2020-10-20,100,UBINAS
2020-10-24,100,UBINAS
2020-10-25,200,UBINAS
2020-10-26,300,UBINAS
2020-10-27,200,UBINAS
2020-10-28,300,UBINAS
2020-10-29,100,UBINAS
2020-11-01,100,UBINAS
2020-11-03,100,UBINAS
2020-11-04,100,UBINAS
2020-11-05,200,UBINAS
2020-11-07,150,UBINAS
2020-11-13,300,UBINAS
2020-11-14,300,UBINAS
2020-11-15,100,UBINAS
2020-11-16,150,UBINAS
2020-11-17,300,UBINAS
2020-11-18,500,UBINAS
2020-11-19,200,UBINAS
2020-11-23,400,UBINAS
2020-12-02,200,UBINAS
2020-12-03,100,UBINAS
2020-12-04,100,UBINAS
2020-12-09,200,UBINAS
2020-12-11,300,UBINAS
2020-12-15,100,UBINAS
2020-12-17,150,UBINAS
2020-12-18,100,UBINAS
2023-06-22,536,UBINAS
2023-06-22,453,UBINAS
2023-06-22,585,UBINAS
2023-06-22,871,UBINAS
2023-06-22,1212,UBINAS
2023-06-22,1442,UBINAS
2023-06-23,509,UBINAS
2023-06-23,338,UBINAS
2023-06-23,320,UBINAS
2023-06-23,484,UBINAS
2023-06-23,476,UBINAS
2023-06-23,602,UBINAS
2023-06-23,558,UBINAS
2023-06-23,931,UBINAS
2023-06-23,698,UBINAS
2023-06-23,799,UBINAS
2023-06-23,978,UBINAS
2023-06-23,1591,UBINAS
2023-06-23,1459,UBINAS
2023-06-23,1261,UBINAS
2023-06-23,1373,UBINAS
2023-06-24,874,UBINAS
2023-06-24,742,UBINAS
2023-06-24,791,UBINAS
2023-06-24,1027,UBINAS
2023-06-24,1126,UBINAS
2023-06-24,1055,UBINAS
2023-06-24,690,UBINAS
2023-06-24,682,UBINAS
2023-06-24,495,UBINAS
2023-06-24,501,UBINAS
2023-06-25,410,UBINAS
2023-06-25,363,UBINAS
2023-06-25,583,UBINAS
2023-06-25,583,UBINAS
2023-06-25,953,UBINAS
2023-06-25,874,UBINAS
2023-06-25,948,UBINAS
2023-06-25,1044,UBINAS
2023-06-25,797,UBINAS
2023-06-25,832,UBINAS
2023-06-25,945,UBINAS
2023-06-25,692,UBINAS
2023-06-25,1011,UBINAS
2023-06-25,973,UBINAS
2023-06-25,1060,UBINAS
2023-06-25,895,UBINAS
2023-06-25,1644,UBINAS
2023-06-25,1545,UBINAS
2023-06-25,1451,UBINAS
2023-06-25,1562,UBINAS
2023-06-25,1381,UBINAS
2023-06-25,1940,UBINAS
2023-06-25,1521,UBINAS
2023-06-25,1179,UBINAS
2023-06-25,1887,UBINAS
2023-06-25,1319,UBINAS
2023-06-25,1011,UBINAS
2023-06-26,519,UBINAS
2023-06-26,492,UBINAS
2023-06-26,583,UBINAS
2023-06-26,503,UBINAS
2023-06-26,560,UBINAS
2023-06-26,591,UBINAS
2023-06-26,585,UBINAS
2023-06-26,709,UBINAS
2023-06-26,651,UBINAS
2023-06-26,912,UBINAS
2023-06-26,1101,UBINAS
2023-06-26,1241,UBINAS
2023-06-26,1052,UBINAS
2023-06-26,1063,UBINAS
2023-06-26,1096,UBINAS
2023-06-26,1249,UBINAS
2023-06-26,1233,UBINAS
2023-06-26,1183,UBINAS
2023-06-26,1126,UBINAS
2023-06-26,599,UBINAS
2023-06-26,986,UBINAS
2023-06-26,1245,UBINAS
2023-06-26,882,UBINAS
2023-06-27,607,UBINAS
2023-06-27,550,UBINAS
2023-06-27,476,UBINAS
2023-06-27,478,UBINAS
2023-06-27,607,UBINAS
2023-06-27,791,UBINAS
2023-06-27,1307,UBINAS
2023-06-27,1187,UBINAS
2023-06-27,830,UBINAS
2023-06-27,890,UBINAS
2023-06-27,1331,UBINAS
2023-06-27,1126,UBINAS
2023-06-27,1640,UBINAS
2023-06-27,1253,UBINAS
2023-06-28,882,UBINAS
2023-06-28,709,UBINAS
2023-06-28,657,UBINAS
2023-06-28,816,UBINAS
2023-06-28,1488,UBINAS
2023-06-28,1521,UBINAS
2023-06-28,928,UBINAS
2023-06-28,1644,UBINAS
2023-06-28,1335,UBINAS
2023-06-28,1101,UBINAS
2023-06-28,1170,UBINAS
2023-06-30,706,UBINAS
2023-06-30,311,UBINAS
2023-06-30,607,UBINAS
2023-06-30,673,UBINAS
2023-06-30,643,UBINAS
2023-06-30,788,UBINAS
2023-06-30,723,UBINAS
2023-07-01,764,UBINAS
2023-07-01,895,UBINAS
2023-07-01,756,UBINAS
2023-07-01,747,UBINAS
2023-07-01,750,UBINAS
2023-07-01,805,UBINAS
2023-07-01,895,UBINAS
2023-07-01,813,UBINAS
2023-07-01,742,UBINAS
2023-07-01,948,UBINAS
2023-07-01,923,UBINAS
2023-07-01,937,UBINAS
2023-07-01,1109,UBINAS
2023-07-01,1257,UBINAS
2023-07-01,1455,UBINAS
2023-07-01,1170,UBINAS
2023-07-01,1434,UBINAS
2023-07-01,1846,UBINAS
2023-07-01,1508,UBINAS
2023-07-01,1731,UBINAS
2023-07-01,1648,UBINAS
2023-07-01,1792,UBINAS
2023-07-01,1582,UBINAS
2023-07-01,1537,UBINAS
2023-07-01,1030,UBINAS
2023-07-01,1282,UBINAS
2023-07-01,1080,UBINAS
2023-07-01,1480,UBINAS
2023-07-01,1537,UBINAS
2023-07-01,1085,UBINAS
2023-07-01,1216,UBINAS
2023-07-02,742,UBINAS
2023-07-04,5000,UBINAS
2023-07-04,3224,UBINAS
2023-07-04,426,UBINAS
2023-07-04,1088,UBINAS
2023-07-04,673,UBINAS
2023-07-04,698,UBINAS
2023-07-04,684,UBINAS
2023-07-04,1052,UBINAS
2023-07-04,616,UBINAS
2023-07-04,1129,UBINAS
2023-07-04,1118,UBINAS
2023-07-04,857,UBINAS
2023-07-04,940,UBINAS
2023-07-04,682,UBINAS
2023-07-04,816,UBINAS
2023-07-04,1027,UBINAS
2023-07-04,978,UBINAS
2023-07-04,904,UBINAS
2023-07-04,1096,UBINAS
2023-07-04,986,UBINAS
2023-07-04,3305,UBINAS
2023-07-04,1739,UBINAS
2023-07-04,1516,UBINAS
2023-07-04,1216,UBINAS
2023-07-04,1225,UBINAS
2023-07-04,1447,UBINAS
2023-07-04,981,UBINAS
2023-07-04,1121,UBINAS
2023-07-05,1183,UBINAS
2023-07-05,731,UBINAS
2023-07-05,1397,UBINAS
2023-07-05,1126,UBINAS
2023-07-05,1060,UBINAS
2023-07-05,915,UBINAS
2023-07-05,931,UBINAS
2023-07-05,994,UBINAS
2023-07-05,1096,UBINAS
2023-07-05,684,UBINAS
2023-07-05,1038,UBINAS
2023-07-05,1019,UBINAS
2023-07-05,904,UBINAS
2023-07-05,1381,UBINAS
2023-07-05,1274,UBINAS
2023-07-05,1170,UBINAS
2023-07-05,1109,UBINAS
2023-07-05,931,UBINAS
2023-07-05,1282,UBINAS
2023-07-05,1047,UBINAS
2023-07-05,1129,UBINAS
2023-07-05,1442,UBINAS
2023-07-05,1228,UBINAS
2023-07-05,1299,UBINAS
2023-07-05,1327,UBINAS
2023-07-05,1677,UBINAS
2023-07-05,1187,UBINAS
2023-07-05,948,UBINAS
2023-07-05,1170,UBINAS
2023-07-05,2201,UBINAS
2023-07-06,3255,UBINAS
2023-07-06,1101,UBINAS
2023-07-06,1340,UBINAS
2023-07-06,1121,UBINAS
2023-07-06,1142,UBINAS
2023-07-06,1011,UBINAS
2023-07-06,1570,UBINAS
2023-07-06,1335,UBINAS
2023-07-06,1854,UBINAS
2023-07-06,1833,UBINAS
2023-07-06,1706,UBINAS
2023-07-07,2992,UBINAS
2023-07-07,904,UBINAS
2023-07-07,640,UBINAS
2023-07-08,451,UBINAS
2023-07-08,495,UBINAS
2023-07-09,1192,UBINAS
2023-07-09,1118,UBINAS
2023-07-09,1027,UBINAS
2023-07-09,1406,UBINAS
2023-07-09,940,UBINAS
2023-07-09,1615,UBINAS
2023-07-09,904,UBINAS
2023-07-09,1813,UBINAS
2023-07-10,1063,UBINAS
2023-07-10,1438,UBINAS
2023-07-10,1406,UBINAS
2023-07-10,964,UBINAS
2023-07-10,1027,UBINAS
2023-07-10,775,UBINAS
2023-07-10,1109,UBINAS
2023-07-10,937,UBINAS
2023-07-10,1406,UBINAS
2023-07-10,1212,UBINAS
2023-07-10,1652,UBINAS
2023-07-11,756,UBINAS
2023-07-11,923,UBINAS
2023-07-11,1118,UBINAS
2023-07-11,912,UBINAS
2023-07-11,1192,UBINAS
2023-07-11,772,UBINAS
2023-07-11,558,UBINAS
2023-07-12,492,UBINAS
2023-07-13,575,UBINAS
2023-07-13,673,UBINAS
2023-07-13,624,UBINAS
2023-07-13,813,UBINAS
2023-07-13,657,UBINAS
2023-07-14,320,UBINAS
2023-07-14,254,UBINAS
2023-07-15,468,UBINAS
2023-07-16,1146,UBINAS
2023-07-16,994,UBINAS
2023-07-16,1319,UBINAS
2023-07-16,1085,UBINAS
2023-07-16,1085,UBINAS
2023-07-16,1150,UBINAS
2023-07-16,1228,UBINAS
2023-07-16,1121,UBINAS
2023-07-16,1126,UBINAS
2023-07-16,1249,UBINAS
2023-07-16,1225,UBINAS
2023-07-16,1126,UBINAS
2023-07-16,1249,UBINAS
2023-07-16,1170,UBINAS
2023-07-16,931,UBINAS
2023-07-16,978,UBINAS
2023-07-16,1068,UBINAS
2023-07-16,1068,UBINAS
2023-07-17,572,UBINAS
2023-07-17,671,UBINAS
2023-07-17,628,UBINAS
2023-07-17,671,UBINAS
2023-07-17,644,UBINAS
2023-07-17,1157,UBINAS
2023-07-17,981,UBINAS
2023-07-17,933,UBINAS
2023-07-17,877,UBINAS
2023-07-17,692,UBINAS
2023-07-17,1382,UBINAS
2023-07-17,1566,UBINAS
2023-07-17,1430,UBINAS
2023-07-17,992,UBINAS
2023-07-17,1337,UBINAS
2023-07-17,981,UBINAS
2023-07-17,1206,UBINAS
2023-07-17,1149,UBINAS
2023-07-17,1278,UBINAS
2023-07-17,885,UBINAS
2023-07-17,829,UBINAS
2023-07-18,869,UBINAS
2023-07-18,668,UBINAS
2023-07-18,984,UBINAS
2023-07-18,1064,UBINAS
2023-07-18,1077,UBINAS
2023-07-18,1174,UBINAS
2023-07-18,1310,UBINAS
2023-07-19,1177,UBINAS
2023-07-19,1278,UBINAS
2023-07-19,1394,UBINAS
2023-07-20,4500,UBINAS
2023-07-20,1378,UBINAS
2023-07-20,831,UBINAS
2023-07-20,1133,UBINAS
2023-07-20,848,UBINAS
2023-07-21,4000,UBINAS
2023-07-21,1225,UBINAS
2023-07-21,1446,UBINAS
2023-07-21,1538,UBINAS
2023-07-21,2031,UBINAS
2023-07-22,2088,UBINAS
2023-07-22,1294,UBINAS
2023-07-22,1685,UBINAS
2023-07-22,3347,UBINAS
2023-07-22,1970,UBINAS
2023-07-22,2524,UBINAS
2023-07-22,2209,UBINAS
2023-07-22,1327,UBINAS
2023-07-22,1434,UBINAS
2023-07-22,1343,UBINAS
2023-07-22,1652,UBINAS
2023-07-22,1735,UBINAS
2023-07-22,895,UBINAS
2023-07-22,1735,UBINAS
2023-07-22,956,UBINAS
2023-07-22,849,UBINAS
2023-07-22,1014,UBINAS
2023-07-22,1002,UBINAS
2023-07-22,1170,UBINAS
2023-07-22,978,UBINAS
2023-07-22,854,UBINAS
2023-07-22,1241,UBINAS
2023-07-22,1022,UBINAS
2023-07-22,879,UBINAS
2023-07-22,940,UBINAS
2023-07-22,799,UBINAS
2023-07-22,969,UBINAS
2023-07-22,895,UBINAS
2023-07-22,797,UBINAS
2023-07-22,750,UBINAS
2023-07-23,462,UBINAS
2023-07-23,684,UBINAS
2023-07-23,2870,UBINAS
2023-07-23,2812,UBINAS
2023-07-23,566,UBINAS
2023-07-23,1159,UBINAS
2023-07-23,1307,UBINAS
2023-07-24,1595,UBINAS
2023-07-24,1842,UBINAS
2023-07-24,731,UBINAS
2023-07-24,1792,UBINAS
2023-07-24,821,UBINAS
2023-07-24,599,UBINAS
2023-07-24,575,UBINAS
2023-07-24,1315,UBINAS
2023-07-25,468,UBINAS
2023-07-25,394,UBINAS
2023-07-25,385,UBINAS
2023-07-25,1068,UBINAS
2023-07-25,435,UBINAS
2023-07-26,2121,UBINAS
2023-07-26,420,UBINAS
2023-07-26,264,UBINAS
2023-07-26,272,UBINAS
2023-07-26,385,UBINAS
2023-07-26,321,UBINAS
2023-07-26,1813,UBINAS
2023-07-26,816,UBINAS
2023-07-26,937,UBINAS
2023-07-26,1471,UBINAS
2023-07-26,791,UBINAS
2023-07-26,1060,UBINAS
2023-07-26,607,UBINAS
2023-07-27,476,UBINAS
2023-07-27,470,UBINAS
2023-07-27,468,UBINAS
2023-07-27,443,UBINAS
2023-07-27,501,UBINAS
2023-07-27,394,UBINAS
2023-07-27,468,UBINAS
2023-07-27,486,UBINAS
2023-07-27,468,UBINAS
2023-07-27,459,UBINAS
2023-07-27,725,UBINAS
2023-07-27,701,UBINAS
2023-07-27,772,UBINAS
2023-07-27,961,UBINAS
2023-07-27,890,UBINAS
2023-07-27,912,UBINAS
2023-07-27,533,UBINAS
2023-07-27,734,UBINAS
2023-07-27,624,UBINAS
2023-07-27,544,UBINAS
2023-07-28,898,UBINAS
2023-07-28,616,UBINAS
2023-07-28,981,UBINAS
2023-07-28,569,UBINAS
2023-07-28,492,UBINAS
2023-07-28,616,UBINAS
2023-07-28,739,UBINAS
2023-07-28,706,UBINAS
2023-07-28,1245,UBINAS
2023-07-28,912,UBINAS
2023-07-28,577,UBINAS
2023-07-28,887,UBINAS
2023-07-28,824,UBINAS
2023-07-29,394,UBINAS
2023-07-29,429,UBINAS
2023-07-29,2524,UBINAS
2023-07-29,923,UBINAS
2023-07-29,912,UBINAS
2023-07-29,797,UBINAS
2023-07-30,632,UBINAS
2023-07-30,599,UBINAS
2023-07-30,519,UBINAS
2023-07-30,1200,UBINAS
2023-07-30,898,UBINAS
2023-07-30,503,UBINAS
2023-07-30,846,UBINAS
2023-07-30,1014,UBINAS
2023-07-31,352,UBINAS
2023-07-31,404,UBINAS
2023-07-31,278,UBINAS
2023-07-31,379,UBINAS
2023-07-31,237,UBINAS
2023-07-31,396,UBINAS
2023-07-31,495,UBINAS
2023-07-31,377,UBINAS
2023-07-31,420,UBINAS
2023-07-31,412,UBINAS
2023-07-31,330,UBINAS
2023-07-31,418,UBINAS
2023-08-01,402,UBINAS
2023-08-01,501,UBINAS
2023-08-01,402,UBINAS
2023-08-01,519,UBINAS
2023-08-01,484,UBINAS
2023-08-01,673,UBINAS
2023-08-01,624,UBINAS
2023-08-01,665,UBINAS
2023-08-01,517,UBINAS
2023-08-01,3372,UBINAS
2023-08-02,1249,UBINAS
2023-08-02,871,UBINAS
2023-08-02,649,UBINAS
2023-08-02,525,UBINAS
2023-08-02,426,UBINAS
2023-08-02,668,UBINAS
2023-08-02,682,UBINAS
2023-08-02,780,UBINAS
2023-08-02,890,UBINAS
2023-08-02,690,UBINAS
2023-08-02,1681,UBINAS
2023-08-02,923,UBINAS
2023-08-02,2162,UBINAS
2023-08-02,1101,UBINAS
2023-08-02,723,UBINAS
2023-08-02,1904,UBINAS
2023-08-02,2121,UBINAS
2023-08-02,2069,UBINAS
2023-08-02,1957,UBINAS
2023-08-02,989,UBINAS
2023-08-02,1170,UBINAS
2023-08-02,871,UBINAS
2023-08-02,682,UBINAS
2023-08-02,948,UBINAS
2023-08-02,723,UBINAS
2023-08-02,591,UBINAS
2023-08-02,764,UBINAS
2023-08-02,904,UBINAS
2023-08-02,714,UBINAS
2023-08-03,904,UBINAS
2023-08-03,797,UBINAS
2023-08-03,808,UBINAS
2023-08-03,882,UBINAS
2023-08-03,2080,UBINAS
2023-08-03,1874,UBINAS
2023-08-03,1904,UBINAS
2023-08-03,1759,UBINAS
2023-08-03,961,UBINAS
2023-08-03,1212,UBINAS
2023-08-03,1932,UBINAS
2023-08-03,2146,UBINAS
2023-08-03,1208,UBINAS
2023-08-03,948,UBINAS
2023-08-03,854,UBINAS
2023-08-03,640,UBINAS
2023-08-03,764,UBINAS
2023-08-04,544,UBINAS
2023-08-04,668,UBINAS
2023-08-04,1340,UBINAS
2023-08-04,1005,UBINAS
2023-08-04,649,UBINAS
2023-08-04,1183,UBINAS
2023-08-04,1150,UBINAS
2023-08-04,973,UBINAS
2023-08-04,1228,UBINAS
2023-08-04,1266,UBINAS
2023-08-04,1286,UBINAS
2023-08-04,2085,UBINAS
2023-08-04,961,UBINAS
2023-08-04,1488,UBINAS
2023-08-05,1142,UBINAS
2023-08-05,1929,UBINAS
2023-08-06,404,UBINAS
2023-08-06,552,UBINAS
2023-08-06,816,UBINAS
2023-08-07,501,UBINAS
2023-08-07,912,UBINAS
2023-08-07,723,UBINAS
2023-08-07,780,UBINAS
2023-08-07,846,UBINAS
2023-08-07,517,UBINAS
2023-08-07,1492,UBINAS
2023-08-07,1648,UBINAS
2023-08-07,1035,UBINAS
2023-08-08,706,UBINAS
2023-08-08,717,UBINAS
2023-08-08,832,UBINAS
2023-08-08,764,UBINAS
2023-08-08,756,UBINAS
2023-08-08,665,UBINAS
2023-08-08,714,UBINAS
2023-08-08,706,UBINAS
2023-08-09,1044,UBINAS
2023-08-09,624,UBINAS
2023-08-09,709,UBINAS
2023-08-09,657,UBINAS
2023-08-09,857,UBINAS
2023-08-09,624,UBINAS
2023-08-09,1060,UBINAS
2023-08-09,948,UBINAS
2023-08-09,1241,UBINAS
2023-08-09,1088,UBINAS
2023-08-09,1665,UBINAS
2023-08-09,1838,UBINAS
2023-08-09,2250,UBINAS
2023-08-09,1348,UBINAS
2023-08-09,1055,UBINAS
2023-08-09,2014,UBINAS
2023-08-09,849,UBINAS
2023-08-09,1459,UBINAS
2023-08-09,1587,UBINAS
2023-08-09,668,UBINAS
2023-08-09,1257,UBINAS
2023-08-09,846,UBINAS
2023-08-10,2549,UBINAS
2023-08-11,385,UBINAS
2023-08-11,764,UBINAS
2023-08-11,945,UBINAS
2023-08-11,871,UBINAS
2023-08-12,1002,UBINAS
2023-08-12,1121,UBINAS
2023-08-12,1179,UBINAS
2023-08-12,874,UBINAS
2023-08-12,519,UBINAS
2023-08-13,1134,UBINAS
2023-08-13,747,UBINAS
2023-08-13,607,UBINAS
2023-08-13,599,UBINAS
2023-08-13,1019,UBINAS
2023-08-13,517,UBINAS
2023-08-13,714,UBINAS
2023-08-13,747,UBINAS
2023-08-13,734,UBINAS
2023-08-13,780,UBINAS
2023-08-13,1055,UBINAS
2023-08-13,1005,UBINAS
2023-08-13,1266,UBINAS
2023-08-13,1533,UBINAS
